iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,16.421,0.093000,0.000000,6.928500,7.119270,7.119270,-0.190770,0.000,8.073,0
1,44.052,0.093000,0.000000,3.441000,3.417991,3.417991,0.023009,30.084,5.446,0
2,73.974,0.093000,0.000000,3.673500,3.702447,3.702447,-0.028947,30.320,5.199,0
3,103.672,0.093000,0.000000,3.906000,3.902812,3.902812,0.003188,30.822,4.039,0
4,135.068,0.093000,0.000000,4.138500,4.131582,4.131582,0.006918,30.513,4.940,0
5,162.591,0.093000,0.000000,4.371000,4.364997,4.364997,0.006003,28.344,4.053,0
6,193.518,-0.349000,0.000000,-28.325500,-29.234575,-29.234575,0.909075,29.945,5.075,0
7,222.897,-0.349000,0.000000,-11.518000,-11.494872,-11.494872,-0.023128,30.026,4.464,0
8,252.699,-0.349000,-0.025000,-13.218000,-13.239397,-13.239397,0.021397,30.001,4.218,0
9,283.285,0.093000,-0.025000,18.911000,19.786961,19.786961,-0.875961,30.006,4.638,0
10,313.630,-0.349000,-0.025000,-31.468000,-32.374247,-32.374247,0.906247,30.032,5.085,0
11,342.148,-0.791000,0.000000,-46.764500,-47.671727,-47.671727,0.907227,29.941,3.728,0
12,373.402,-0.791000,-0.049000,-32.758900,-32.781209,-32.781209,0.022309,30.250,4.703,0
13,402.831,-0.791000,-0.172000,-38.665600,-38.763694,-38.763694,0.098094,29.970,4.176,0
14,433.442,-0.791000,-0.271000,-43.568200,-43.763467,-43.763467,0.195267,30.803,3.981,0
15,464.024,-0.791000,-0.345000,-47.725200,-48.088441,-48.088441,0.363241,29.992,4.536,0
16,493.566,-0.791000,-0.394000,-51.137100,-51.698937,-51.698937,0.561837,29.995,4.094,0
17,523.951,-0.349000,-0.394000,-20.078000,-19.857295,-19.857295,-0.220705,30.013,4.522,0
18,555.083,0.093000,-0.468000,-8.190300,-8.157938,-8.157938,-0.032362,29.999,5.641,0
19,584.158,0.534000,-0.493000,6.564400,6.366719,6.366719,0.197681,30.015,4.695,0
20,613.499,0.534000,-0.493000,-9.714900,-10.965540,-10.965540,1.250640,30.018,3.965,0
21,644.060,0.976000,-0.493000,24.499800,23.945633,23.945633,0.554167,29.970,4.563,0
22,674.057,0.534000,-0.493000,-23.718500,-26.290759,-26.290759,2.572259,30.005,4.555,0
23,703.551,0.976000,-0.493000,28.176200,27.213503,27.213503,0.962697,29.999,4.070,0
24,734.205,0.976000,-0.517000,12.092500,10.018485,10.018485,2.074015,30.001,4.730,0
25,764.391,0.976000,-0.468000,16.174700,13.924761,13.924761,2.249939,30.001,4.916,0
26,794.813,0.534000,-0.468000,-14.508100,-17.801048,-17.801048,3.292948,30.000,5.349,0
27,824.246,0.534000,-0.468000,4.460100,1.870306,1.870306,2.589794,30.017,4.737,0
28,853.757,0.534000,-0.517000,4.126400,1.305317,1.305317,2.821083,30.095,4.158,0
29,884.436,0.534000,-0.517000,5.556700,2.485949,2.485949,3.070751,30.047,4.795,0
30,913.754,0.093000,-0.517000,-26.014500,-30.097935,-30.097935,4.083435,30.075,4.099,0
31,944.370,0.093000,-0.517000,-8.193700,-11.659803,-11.659803,3.466103,30.780,3.916,0
32,975.295,0.093000,-0.517000,-8.012900,-11.678676,-11.678676,3.665776,30.004,4.841,0
33,1004.729,0.093000,-0.517000,-7.832100,-11.692557,-11.692557,3.860457,30.017,4.252,0
34,1034.378,0.534000,-0.517000,25.203200,22.052210,22.052210,3.150990,29.990,3.900,0
35,1064.365,0.093000,-0.517000,-24.008000,-29.172975,-29.172975,5.164975,30.010,3.883,0
36,1094.827,0.093000,-0.493000,-5.392800,-9.888253,-9.888253,4.495453,29.987,4.362,0
37,1124.472,0.534000,-0.517000,26.778500,22.998090,22.998090,3.780410,29.997,4.009,0
38,1155.383,0.534000,-0.517000,10.493800,5.629376,5.629376,4.864424,30.004,4.932,0
39,1184.136,0.093000,-0.493000,-20.283000,-26.245117,-26.245117,5.962117,30.003,3.678,0
40,1214.317,0.534000,-0.493000,30.322700,25.925787,25.925787,4.396913,30.028,3.798,0
