iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
63,1909.260,-0.791000,0.345000,-59.757700,-54.070317,-54.070317,-5.687383,29.996,4.787,0
64,1938.934,-2.116000,0.345000,-107.560200,-101.755169,-101.755169,-5.805031,30.000,4.318,0
65,1968.548,-2.999000,0.370000,-124.771700,-117.934501,-117.934501,-6.837199,30.005,3.931,0
66,1999.299,-3.441000,0.345000,-130.743700,-122.842644,-122.842644,-7.901056,29.999,4.708,0
67,2029.004,-3.441000,0.246000,-124.833600,-115.962038,-115.962038,-8.871562,30.000,4.365,0
68,2059.211,-2.999000,0.123000,-104.256800,-94.435376,-94.435376,-9.821424,30.005,4.653,0
69,2088.242,-2.558000,0.025000,-99.442300,-89.674446,-89.674446,-9.767854,30.008,3.759,0
70,2119.197,-1.674000,-0.099000,-61.427200,-50.814402,-50.814402,-10.612798,30.043,4.660,0
71,2148.899,-0.791000,-0.246000,-39.692300,-29.151962,-29.151962,-10.540338,30.061,4.296,0
72,2216.778,0.534000,-0.444000,15.585300,26.830978,26.830978,-11.245678,30.016,42.115,0
73,2221.998,0.976000,-0.567000,-6.672400,2.534379,2.534379,-9.206779,42.617,4.735,0
74,2239.935,2.301000,-0.665000,73.868600,84.584561,84.584561,-10.715961,18.258,4.472,0
75,2270.848,3.185000,-0.641000,93.501000,103.046748,103.046748,-9.545748,30.010,5.314,0
76,2299.648,3.626000,-0.690000,97.200000,105.589261,105.589261,-8.389261,29.995,4.110,0
77,2329.951,4.068000,-0.665000,122.459500,130.590419,130.590419,-8.130919,30.066,4.344,0
78,2359.965,4.068000,-0.665000,114.808000,121.795413,121.795413,-6.987413,29.971,4.345,0
79,2390.356,3.185000,-0.616000,60.749900,65.734000,65.734000,-4.984100,30.001,4.803,0
80,2419.715,2.743000,-0.444000,76.588000,82.271290,82.271290,-5.683290,30.021,4.064,0
81,2451.675,1.418000,-0.320000,5.957000,9.749494,9.749494,-3.792494,29.948,6.149,0
82,2492.474,0.534000,-0.197000,0.311300,4.903469,4.903469,-4.592169,30.024,16.919,0
83,2545.071,-0.791000,0.025000,-54.746700,-51.003045,-51.003045,-3.743655,30.018,39.508,0
84,2568.072,-1.674000,0.049000,-69.376800,-64.709999,-64.709999,-4.666801,39.979,22.568,0
