iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
73,2217.881,103.940,0.000,38128.880,38127.803,0.000,1.077,29.934,5.182,1
74,2246.430,103.900,0.000,38593.070,38592.053,0.000,1.017,29.979,3.805,1
75,2277.329,103.900,0.000,39062.620,39061.548,0.000,1.072,30.021,4.683,1
76,2306.457,103.760,0.000,39517.780,39516.771,0.000,1.009,29.970,3.828,1
77,2336.592,103.940,0.000,40007.630,40006.551,0.000,1.079,30.019,3.932,1
78,2367.318,103.850,0.000,40458.395,40457.350,0.000,1.045,30.040,4.535,1
79,2397.996,103.850,0.000,40930.220,40929.211,0.000,1.009,29.953,5.174,1
80,2426.762,103.940,0.000,41405.510,41404.527,0.000,0.983,29.991,4.035,1
81,2456.797,103.980,0.000,41872.280,41871.246,0.000,1.034,30.060,3.919,1
82,2487.057,103.940,0.000,42334.650,42333.621,0.000,1.029,29.946,4.309,1
83,2517.349,103.900,0.000,42800.840,42799.798,0.000,1.042,30.002,4.663,1
84,2548.144,103.980,0.000,43277.470,43276.464,0.000,1.006,30.000,5.347,1
85,2577.132,103.900,0.000,43734.300,43733.297,0.000,1.003,30.060,4.188,1
86,2606.884,103.850,0.000,44201.425,44200.367,0.000,1.058,30.034,4.030,1
87,2636.929,103.940,0.000,44679.215,44678.231,0.000,0.984,29.979,4.149,1
88,2667.344,103.760,0.000,45126.515,45125.482,0.000,1.033,30.075,4.513,1
89,2696.899,103.720,0.000,45598.895,45597.884,0.000,1.011,29.858,4.246,1
90,2726.492,103.900,0.000,46083.565,46082.576,0.000,0.989,30.002,3.865,1
91,2756.646,103.900,0.000,46542.115,46541.106,0.000,1.009,29.998,4.027,1
92,2786.721,103.980,0.000,47016.745,47015.762,0.000,0.983,30.004,4.088,1
93,2816.613,103.900,0.000,47473.575,47472.563,0.000,1.012,29.995,3.978,1
94,2846.575,103.900,0.000,47945.125,47944.153,0.000,0.972,30.054,3.811,1
95,2876.615,103.810,0.000,48404.710,48403.661,0.000,1.049,29.957,3.971,1
96,2907.336,103.900,0.000,48884.320,48883.269,0.000,1.051,30.004,4.682,1
97,2936.582,103.760,0.000,49334.980,49334.022,0.000,0.958,30.002,3.948,1
98,2966.980,103.900,0.000,49821.290,49820.196,0.000,1.094,30.001,4.334,1
