iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
62,1898.030,1.859436,-1.576956,18.716997,18.695457,18.695457,0.021540,29.976,3.607,0
63,1929.371,2.301178,-1.552316,74.455095,74.465480,74.465480,-0.010385,30.199,4.716,0
64,1961.030,2.301178,-1.527676,63.124792,63.116647,63.116647,0.008145,31.454,4.969,0
65,1988.833,2.301178,-1.404477,72.728937,72.738882,72.738882,-0.009946,28.461,4.277,0
66,2018.712,2.301178,-1.355197,79.603005,79.577285,79.577285,0.025720,30.085,4.091,0
67,2050.001,1.859436,-1.256637,55.425147,55.387333,55.387333,0.037814,30.820,4.512,0
68,2079.824,1.859436,-1.133437,81.399993,81.389490,81.389490,0.010504,29.998,4.355,0
69,2110.658,1.417725,-1.059518,55.104889,55.153311,55.153311,-0.048422,30.008,5.165,0
70,2141.509,1.859436,-0.887038,114.606490,114.540213,114.540213,0.066277,29.963,6.108,0
71,2172.414,0.976013,-0.788478,38.427819,38.423292,38.423292,0.004527,30.048,6.941,0
72,2199.689,0.976013,-0.566719,83.170467,83.187037,83.187037,-0.016570,30.107,4.155,0
73,2229.879,0.976013,-0.517439,86.519718,86.533448,86.533448,-0.013730,29.844,4.464,0
74,2259.470,0.534302,-0.295679,63.192953,63.118852,63.118852,0.074101,30.003,4.121,0
75,2290.251,0.092590,-0.123200,54.303811,54.331151,54.331151,-0.027339,30.009,4.812,0
76,2320.868,-0.349152,0.024640,43.657734,43.677544,43.677544,-0.019810,30.004,5.450,0
77,2351.456,-0.349152,0.197120,65.722566,65.740431,65.740431,-0.017864,29.998,6.052,0
78,2379.500,-0.790863,0.369599,37.153544,37.168002,37.168002,-0.014458,29.996,4.132,0
79,2409.661,-1.232574,0.566719,25.981552,25.930844,25.930844,0.050708,30.013,4.253,0
80,2439.997,-1.674286,0.640639,9.573077,9.653834,9.653834,-0.080758,30.093,4.517,0
81,2469.809,-1.674286,0.739198,26.160448,26.118132,26.118132,0.042317,30.045,4.254,0
82,2499.515,-2.115997,0.763838,-10.338909,-10.326123,-10.326123,-0.012786,30.080,3.912,0
83,2530.733,-2.115997,0.813118,3.673170,3.689742,3.689742,-0.016572,30.780,4.299,0
84,2560.442,-2.115997,0.862398,-0.052183,-0.098984,-0.098984,0.046802,30.002,4.002,0
85,2590.861,-1.674286,0.911678,29.134862,29.187052,29.187052,-0.052190,30.012,4.417,0
86,2620.874,-1.674286,0.936318,8.039619,8.038072,8.038072,0.001546,29.995,4.416,0
87,2650.796,-0.790863,0.985598,71.319797,71.314123,71.314123,0.005674,30.000,4.329,0
88,2680.681,-0.349152,0.985598,66.863909,66.886989,66.886989,-0.023080,30.003,4.237,0
89,2710.323,0.092590,1.207357,88.671151,88.652455,88.652455,0.018696,30.028,3.878,0
90,2740.485,0.534302,1.305917,106.858284,106.797187,106.797187,0.061097,29.979,4.067,0
91,2770.627,0.976013,1.355197,124.899109,124.905073,124.905073,-0.005964,30.001,4.189,0
92,2800.469,0.976013,1.503036,114.551852,114.513775,114.513775,0.038077,30.005,4.061,0
93,2830.520,0.092590,1.675516,56.592745,56.615147,56.615147,-0.022402,30.008,4.075,0
94,2861.521,-0.349152,1.823356,63.794977,63.746412,63.746412,0.048565,30.601,4.484,0
95,2891.618,-0.790863,1.946555,51.501010,51.531948,51.531948,-0.030939,29.542,4.998,0
96,2921.459,-2.115997,2.168315,-24.364876,-24.378125,-24.378125,0.013249,30.047,4.846,0
97,2952.116,-2.557739,2.340795,-4.298648,-4.291932,-4.291932,-0.006716,30.807,4.681,0
98,2981.819,-3.441162,2.340795,-59.121690,-59.085911,-59.085911,-0.035779,29.996,4.394,0
99,3011.966,-3.882874,2.340795,-65.061139,-65.039191,-65.039191,-0.021948,30.015,4.466,0
100,3043.011,-4.766327,2.340795,-122.683013,-122.636582,-122.636582,-0.046431,30.011,5.515,0
101,3074.059,-4.766327,2.340795,-99.026631,-98.977213,-98.977213,-0.049418,29.996,6.560,0
102,3101.689,-4.766327,2.168315,-116.417457,-116.409581,-116.409581,-0.007876,30.022,4.178,0
