iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,36.528,100.883,0.000,7515.783,7514.764,0.000,1.019,0.000,20.998,1
1,58.991,100.896,0.000,3733.660,3732.668,0.000,0.992,30.008,13.444,1
2,88.989,100.918,0.000,3987.013,3986.019,0.000,0.994,30.004,13.398,1
3,116.002,100.901,0.000,4237.110,4236.069,0.000,1.041,30.005,10.384,1
4,146.357,100.905,0.000,4490.398,4489.315,0.000,1.083,30.028,10.273,1
5,178.292,100.918,0.000,4743.471,4742.436,0.000,1.035,29.982,12.485,1
6,206.268,100.896,0.000,4993.593,4992.576,0.000,1.017,29.993,10.513,1
7,236.646,100.901,0.000,5247.044,5246.040,0.000,1.003,30.006,10.880,1
8,267.358,100.914,0.000,5500.108,5499.184,0.000,0.924,30.044,11.647,1
9,296.063,100.940,0.000,5753.836,5752.759,0.000,1.077,29.957,10.364,1
10,325.995,100.914,0.000,6003.154,6002.212,0.000,0.942,30.066,10.221,1
11,357.074,100.910,0.000,6256.169,6255.081,0.000,1.087,30.949,10.473,1
12,386.562,100.892,0.000,6507.303,6506.345,0.000,0.958,29.173,10.659,1
13,417.420,100.914,0.000,6761.885,6760.901,0.000,0.984,30.820,10.697,1
14,448.381,100.923,0.000,7013.944,7012.911,0.000,1.032,30.002,11.338,1
15,477.059,100.905,0.000,7264.581,7263.634,0.000,0.947,30.041,10.376,1
16,507.012,100.910,0.000,7517.880,7516.874,0.000,1.007,30.034,10.321,1
17,537.572,100.905,0.000,7769.648,7768.577,0.000,1.071,30.373,10.504,1
18,566.907,100.923,0.000,8023.404,8022.368,0.000,1.036,29.555,10.294,1
19,598.851,100.918,0.000,8274.674,8273.690,0.000,0.985,30.027,12.183,1
20,627.582,100.932,0.000,8528.134,8527.132,0.000,1.002,30.005,10.870,1
21,659.789,100.914,0.000,8778.619,8777.577,0.000,1.041,29.997,13.122,1
22,687.227,100.905,0.000,9030.950,9029.935,0.000,1.015,29.974,10.649,1
23,717.934,100.910,0.000,9283.896,9282.896,0.000,1.000,30.017,11.361,1
24,748.378,100.905,0.000,9535.663,9534.689,0.000,0.975,30.026,11.067,1
25,777.506,100.892,0.000,9787.116,9786.118,0.000,0.999,30.028,10.501,1
26,807.591,100.905,0.000,10040.862,10039.774,0.000,1.088,30.135,10.533,1
27,837.944,100.905,0.000,10292.595,10291.473,0.000,1.122,29.951,11.198,1
28,867.752,100.914,0.000,10545.518,10544.556,0.000,0.962,29.972,11.005,1
29,897.887,100.918,0.000,10797.776,10796.723,0.000,1.052,30.044,11.092,1
30,928.733,100.918,0.000,11049.896,11048.794,0.000,1.102,30.847,10.906,1
31,959.634,100.940,0.000,11303.838,11302.764,0.000,1.074,30.002,11.878,1
32,988.408,100.905,0.000,11552.672,11551.700,0.000,0.972,30.000,10.595,1
33,1019.779,100.892,0.000,11805.362,11804.348,0.000,1.014,30.012,10.738,1
34,1049.110,100.901,0.000,12058.778,12057.753,0.000,1.025,30.865,10.316,1
35,1078.805,100.905,0.000,12311.007,12310.007,0.000,1.000,29.132,11.141,1
36,1108.623,100.914,0.000,12563.752,12562.676,0.000,1.076,29.993,10.990,1
37,1137.585,100.949,0.000,12818.313,12817.269,0.000,1.044,30.001,9.935,1
38,1168.342,100.927,0.000,13067.630,13066.579,0.000,1.051,30.003,10.709,1
39,1197.935,100.896,0.000,13318.528,13317.531,0.000,0.997,29.999,10.353,1
40,1228.308,100.887,0.000,13571.346,13570.308,0.000,1.037,30.014,10.739,1
41,1258.189,100.910,0.000,13825.564,13824.596,0.000,0.968,30.000,10.566,1
42,1289.591,100.918,0.000,14077.611,14076.570,0.000,1.041,30.000,11.975,1
43,1319.148,100.905,0.000,14328.567,14327.510,0.000,1.057,30.046,11.100,1
44,1348.597,100.927,0.000,14583.006,14582.002,0.000,1.004,30.038,10.923,1
45,1378.391,100.905,0.000,14832.794,14831.801,0.000,0.994,30.044,10.646,1
46,1415.909,100.883,0.000,15084.295,15083.255,0.000,1.040,33.295,14.897,1
47,1440.027,100.896,0.000,15338.375,15337.397,0.000,0.978,27.620,11.379,1
48,1471.589,100.910,0.000,15591.071,15590.085,0.000,0.987,30.687,12.219,1
49,1499.338,100.901,0.000,15842.156,15841.143,0.000,1.013,29.689,10.295,1
50,1529.518,100.914,0.000,16095.751,16094.675,0.000,1.076,29.586,10.860,1
51,1560.646,100.918,0.000,16347.832,16346.683,0.000,1.148,30.015,11.997,1
52,1589.472,100.914,0.000,16599.625,16598.601,0.000,1.023,30.016,10.735,1
53,1619.247,100.932,0.000,16853.399,16852.388,0.000,1.012,30.023,10.149,1
54,1650.418,100.905,0.000,17103.049,17101.920,0.000,1.129,29.964,11.633,1
55,1679.038,100.896,0.000,17355.715,17354.748,0.000,0.967,30.016,10.287,1
56,1709.052,100.896,0.000,17608.308,17607.329,0.000,0.979,29.990,10.334,1
57,1739.247,100.887,0.000,17859.889,17858.853,0.000,1.036,29.979,10.604,1
58,1769.096,100.883,0.000,18112.132,18111.139,0.000,0.993,30.012,10.459,1
59,1799.271,100.896,0.000,18365.506,18364.417,0.000,1.089,29.986,10.600,1
60,1829.766,100.901,0.000,18617.543,18616.570,0.000,0.973,30.017,11.001,1
61,1859.138,100.901,0.000,18869.619,18868.612,0.000,1.007,30.054,10.326,1
62,1889.584,100.905,0.000,19122.200,19121.113,0.000,1.087,30.056,10.714,1
63,1920.688,100.901,0.000,19373.956,19372.914,0.000,1.042,30.896,10.605,1
64,1950.324,100.901,0.000,19626.385,19625.332,0.000,1.053,30.007,10.604,1
65,1980.693,100.905,0.000,19878.966,19877.936,0.000,1.030,30.001,10.992,1
66,2011.046,100.905,0.000,20131.052,20130.069,0.000,0.983,30.002,11.334,1
67,2041.294,100.927,0.000,20384.961,20383.877,0.000,1.083,29.999,11.568,1
68,2070.758,100.927,0.000,20636.395,20635.419,0.000,0.976,30.001,10.933,1
69,2100.745,100.927,0.000,20888.713,20887.615,0.000,1.097,30.006,11.055,1
70,2130.022,100.918,0.000,21140.371,21139.290,0.000,1.081,30.005,10.344,1
71,2161.048,100.910,0.000,21392.364,21391.349,0.000,1.015,30.004,11.268,1
72,2190.690,100.901,0.000,21644.331,21643.261,0.000,1.070,30.007,10.919,1
73,2221.574,100.896,0.000,21896.610,21895.459,0.000,1.151,29.997,11.404,1
74,2250.470,100.896,0.000,22149.026,22148.043,0.000,0.983,30.003,10.714,1
75,2280.279,100.896,0.000,22401.267,22400.183,0.000,1.083,30.006,10.576,1
76,2311.191,100.910,0.000,22654.494,22653.492,0.000,1.002,30.037,11.437,1
77,2340.610,100.892,0.000,22904.922,22903.881,0.000,1.040,30.048,10.847,1
78,2370.048,100.905,0.000,23158.845,23157.827,0.000,1.018,30.017,10.199,1
79,2401.789,100.927,0.000,23412.224,23411.132,0.000,1.092,30.047,11.965,1
80,2431.991,100.865,0.000,23659.050,23657.982,0.000,1.067,30.073,12.024,1
