iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,30.542,-102.260,37.400,-5909.190,-5908.275,0.000,-0.915,0.000,16.047,1
1,58.766,-102.440,37.400,-2435.670,-2434.612,0.000,-1.058,30.008,14.229,1
2,86.666,-102.170,37.400,-2638.275,-2637.291,0.000,-0.984,30.011,12.102,1
3,116.674,-102.440,37.400,-2898.435,-2897.482,0.000,-0.953,29.997,11.972,1
4,143.860,-102.260,37.400,-3104.145,-3103.132,0.000,-1.013,30.000,8.943,1
5,177.463,-102.300,37.400,-3343.795,-3342.755,0.000,-1.040,30.029,12.907,1
6,206.492,-102.210,37.400,-3565.060,-3564.065,0.000,-0.995,30.002,11.935,1
7,236.483,-102.350,37.400,-3808.435,-3807.410,0.000,-1.025,29.997,11.900,1
8,266.323,-102.390,37.400,-4035.510,-4034.447,0.000,-1.063,29.986,11.672,1
9,296.574,-102.300,37.400,-4257.000,-4255.985,0.000,-1.015,29.994,11.907,1
10,326.976,-102.260,37.400,-4487.190,-4486.182,0.000,-1.008,30.011,12.311,1
11,356.969,-102.480,37.400,-4734.650,-4733.647,0.000,-1.003,30.009,12.274,1
12,387.474,-102.260,37.400,-4939.480,-4938.477,0.000,-1.003,30.006,12.783,1
13,417.977,-102.350,37.400,-5184.455,-5183.367,0.000,-1.088,31.437,11.931,1
14,447.864,-102.210,37.400,-5400.120,-5399.104,0.000,-1.016,28.582,12.840,1
15,477.377,-102.300,37.400,-5641.770,-5640.793,0.000,-0.977,29.962,12.796,1
16,506.816,-102.350,37.400,-5871.465,-5870.409,0.000,-1.056,30.018,12.212,1
17,535.915,-102.570,37.400,-6115.550,-6114.517,0.000,-1.033,29.999,11.254,1
18,566.953,-102.440,37.400,-6327.310,-6326.248,0.000,-1.062,30.010,12.297,1
19,595.856,-102.300,37.400,-6552.000,-6551.011,0.000,-0.989,30.020,11.174,1
20,625.861,-102.080,37.400,-6770.780,-6769.757,0.000,-1.023,29.976,11.189,1
21,656.046,-102.260,37.400,-7022.010,-7020.916,0.000,-1.094,30.002,11.422,1
22,687.273,-102.260,37.400,-7244.280,-7243.213,0.000,-1.067,29.982,12.696,1
23,716.697,-102.300,37.400,-7476.730,-7475.644,0.000,-1.086,30.035,11.939,1
24,747.267,-102.350,37.400,-7708.425,-7707.467,0.000,-0.958,30.066,12.356,1
25,780.590,-102.300,37.400,-7932.395,-7931.386,0.000,-1.009,29.937,15.927,1
26,806.974,-102.210,37.400,-8157.260,-8156.283,0.000,-0.977,30.024,12.214,1
27,836.792,-102.390,37.400,-8403.615,-8402.571,0.000,-1.044,29.958,12.150,1
28,866.982,-102.300,37.400,-8619.505,-8618.525,0.000,-0.980,30.010,12.359,1
29,896.402,-102.260,37.400,-8849.695,-8848.698,0.000,-0.997,30.055,11.626,1
30,926.639,-102.300,37.400,-9083.745,-9082.790,0.000,-0.955,29.989,11.924,1
31,956.512,-102.350,37.400,-9315.440,-9314.393,0.000,-1.047,29.982,11.807,1
32,987.070,-102.350,37.400,-9543.135,-9542.146,0.000,-0.989,29.981,12.404,1
33,1017.274,-102.480,37.400,-9782.515,-9781.580,0.000,-0.935,30.132,12.386,1
34,1046.432,-102.350,37.400,-9997.650,-9996.631,0.000,-1.019,29.932,11.386,1
35,1080.812,-102.300,37.400,-10228.820,-10227.845,0.000,-0.975,29.960,14.716,1
36,1106.925,-102.170,37.400,-10450.705,-10449.717,0.000,-0.988,29.967,12.291,1
37,1135.881,-102.300,37.400,-10694.835,-10693.836,0.000,-0.999,30.008,11.032,1
38,1167.638,-102.300,37.400,-10919.205,-10918.197,0.000,-1.008,30.075,12.881,1
39,1198.532,-102.390,37.400,-11155.480,-11154.429,0.000,-1.051,29.955,13.829,1
40,1231.072,-102.300,37.400,-11374.970,-11373.939,0.000,-1.031,32.057,14.315,1
41,1256.491,-102.390,37.400,-11614.845,-11613.796,0.000,-1.049,27.941,11.831,1
42,1286.067,-102.350,37.400,-11838.060,-11837.053,0.000,-1.007,29.979,11.375,1
43,1316.736,-102.300,37.400,-12065.630,-12064.654,0.000,-0.976,29.996,12.146,1
44,1347.652,-102.170,37.400,-12287.515,-12286.476,0.000,-1.039,30.023,12.240,1
45,1376.603,-102.350,37.400,-12535.370,-12534.377,0.000,-0.993,29.982,11.481,1
46,1406.415,-102.260,37.400,-12751.160,-12750.199,0.000,-0.961,30.072,11.667,1
47,1437.677,-102.350,37.400,-12990.935,-12989.918,0.000,-1.017,29.935,12.940,1
48,1466.982,-102.440,37.400,-13223.735,-13222.792,0.000,-0.943,30.015,12.087,1
49,1497.549,-102.120,37.400,-13426.215,-13425.220,0.000,-0.995,30.026,12.694,1
50,1527.474,-102.210,37.400,-13674.840,-13673.809,0.000,-1.031,29.972,12.775,1
51,1556.035,-102.300,37.400,-13907.290,-13906.240,0.000,-1.050,29.998,11.353,1
52,1586.101,-102.350,37.400,-14136.985,-14135.973,0.000,-1.012,29.998,11.332,1
53,1615.265,-102.300,37.400,-14360.955,-14359.989,0.000,-0.966,29.209,11.275,1
54,1646.906,-102.350,37.400,-14596.250,-14595.200,0.000,-1.050,30.821,11.897,1
55,1677.322,-102.390,37.400,-14826.925,-14825.926,0.000,-0.999,30.199,11.633,1
56,1707.066,-102.300,37.400,-15048.415,-15047.368,0.000,-1.047,30.300,11.863,1
57,1736.614,-102.260,37.400,-15278.605,-15277.562,0.000,-1.043,28.656,12.752,1
58,1765.724,-102.300,37.400,-15512.655,-15511.605,0.000,-1.050,30.017,11.781,1
59,1796.280,-102.260,37.400,-15737.645,-15736.593,0.000,-1.052,30.807,11.485,1
60,1826.354,-102.170,37.400,-15962.010,-15960.969,0.000,-1.041,29.983,11.649,1
61,1855.562,-102.350,37.400,-16208.265,-16207.254,0.000,-1.011,29.167,11.673,1
62,1886.092,-102.300,37.400,-16427.035,-16426.002,0.000,-1.033,30.004,12.199,1
63,1917.565,-102.300,37.400,-16658.605,-16657.702,0.000,-0.903,30.835,12.878,1
64,1946.004,-102.300,37.400,-16888.175,-16887.132,0.000,-1.043,30.011,11.370,1
65,1976.166,-102.210,37.400,-17111.040,-17110.017,0.000,-1.023,29.151,12.064,1
66,2005.205,-102.300,37.400,-17350.690,-17349.545,0.000,-1.145,30.068,11.307,1
67,2035.388,-102.300,37.400,-17576.660,-17575.629,0.000,-1.031,30.004,11.485,1
68,2065.906,-102.350,37.400,-17809.955,-17808.966,0.000,-0.989,29.913,12.081,1
69,2095.114,-102.300,37.400,-18033.925,-18032.833,0.000,-1.092,30.003,11.308,1
70,2125.177,-102.300,37.400,-18265.495,-18264.431,0.000,-1.064,30.066,11.322,1
71,2157.651,-102.300,37.400,-18495.065,-18494.146,0.000,-0.919,30.005,13.763,1
72,2183.990,-102.210,37.400,-18717.930,-18716.881,0.000,-1.049,29.914,10.225,1
73,2213.827,-102.350,37.400,-18961.305,-18960.288,0.000,-1.017,30.006,10.062,1
74,2245.753,-102.300,37.400,-19181.675,-19180.686,0.000,-0.989,30.059,11.686,1
75,2275.701,-102.350,37.400,-19416.970,-19415.911,0.000,-1.059,30.014,11.811,1
76,2306.473,-102.300,37.400,-19640.940,-19639.980,0.000,-0.960,29.893,12.701,1
77,2330.346,-102.210,37.400,-19865.805,-19864.803,0.000,-1.002,30.022,6.562,1
78,2360.519,-102.210,37.400,-20098.750,-20097.625,0.000,-1.125,30.090,6.677,1
79,2391.084,-102.260,37.400,-20331.820,-20330.798,0.000,-1.022,29.982,7.255,1
80,2420.611,-102.300,37.400,-20562.270,-20561.272,0.000,-0.998,29.928,6.878,1
81,2452.665,-101.630,37.400,-20740.325,-20739.258,0.000,-1.067,30.623,8.281,1
82,2480.343,-102.300,37.400,-21044.935,-21043.868,0.000,-1.067,29.431,6.451,1
83,2511.642,-102.390,37.400,-21254.410,-21253.414,0.000,-0.996,30.066,7.517,1
84,2540.443,-102.300,37.400,-21473.900,-21472.845,0.000,-1.055,29.845,6.556,1
