iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,36.935,103.900,0.100,9199.220,9198.196,0.000,1.024,0.000,31.458,1
1,79.705,103.940,0.100,4474.880,4473.845,0.000,1.035,31.941,42.273,1
2,105.105,104.070,0.100,4952.185,4951.149,0.000,1.036,42.784,24.909,1
3,148.213,103.850,0.100,5394.600,5393.509,0.000,1.091,25.387,42.610,1
4,187.329,103.940,0.100,5880.960,5879.905,0.000,1.055,43.109,38.649,1
5,216.429,103.980,0.100,6347.800,6346.762,0.000,1.038,39.115,28.597,1
6,256.055,103.850,0.100,6802.275,6801.208,0.000,1.067,29.099,39.053,1
7,294.415,103.980,0.100,7287.675,7286.643,0.000,1.032,39.628,37.877,1
8,322.462,103.980,0.100,7749.155,7748.098,0.000,1.057,38.353,27.221,1
9,350.880,104.030,0.100,8221.560,8220.512,0.000,1.048,28.055,27.949,1
10,380.049,103.850,0.100,8671.335,8670.296,0.000,1.039,28.412,28.620,1
11,426.748,103.940,0.100,9155.695,9154.700,0.000,0.995,29.182,46.125,1
12,475.502,103.850,0.100,9611.030,9610.009,0.000,1.021,46.685,48.285,1
13,500.804,103.980,0.100,10094.430,10093.383,0.000,1.047,48.761,24.825,1
14,539.431,103.760,0.100,10536.440,10535.395,0.000,1.045,25.295,38.143,1
15,569.181,103.900,0.100,11026.820,11025.778,0.000,1.042,38.626,29.229,1
16,622.378,103.980,0.100,11494.520,11493.475,0.000,1.045,29.757,52.731,1
17,650.081,103.850,0.100,11946.995,11945.955,0.000,1.040,53.191,27.233,1
18,693.488,103.810,0.100,12417.350,12416.315,0.000,1.035,27.703,42.865,1
19,741.946,104.160,0.100,12917.540,12916.468,0.000,1.072,43.414,47.747,1
20,783.420,103.900,0.100,13345.820,13344.763,0.000,1.057,48.452,40.838,1
21,812.970,103.810,0.100,13818.475,13817.510,0.000,0.965,41.473,29.064,1
