iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,67.390,103.850,0.100,9194.795,9193.757,0.000,1.038,0.000,47.652,1
1,98.484,103.940,0.100,4477.155,4476.112,0.000,1.043,48.328,30.328,1
2,129.562,104.070,0.100,4951.960,4950.950,0.000,1.010,31.102,30.535,1
3,166.413,103.940,0.100,5402.340,5401.319,0.000,1.021,31.069,36.345,1
4,207.123,103.940,0.100,5876.640,5875.565,0.000,1.075,36.859,40.126,1
5,248.850,103.900,0.100,6340.900,6339.853,0.000,1.047,40.713,40.946,1
6,286.069,103.940,0.100,6814.060,6813.010,0.000,1.050,41.715,36.625,1
7,330.655,103.900,0.100,7276.320,7275.288,0.000,1.032,37.343,43.821,1
8,384.494,103.850,0.100,7741.515,7740.464,0.000,1.051,44.456,53.212,1
9,414.700,103.900,0.100,8215.835,8214.794,0.000,1.041,53.846,29.581,1
10,447.062,103.980,0.100,8688.035,8686.992,0.000,1.043,30.202,31.719,1
11,479.990,103.940,0.100,9148.475,9147.439,0.000,1.036,32.360,32.414,1
12,514.493,103.940,0.100,9618.275,9617.211,0.000,1.064,32.927,33.914,1
13,562.987,103.980,0.100,10089.615,10088.567,0.000,1.048,34.509,47.904,1
14,593.321,103.940,0.100,10552.055,10551.039,0.000,1.016,48.487,29.783,1
15,621.828,104.250,0.100,11049.290,11048.268,0.000,1.022,30.335,27.865,1
16,679.727,103.980,0.100,11479.090,11478.066,0.000,1.024,28.507,57.335,1
17,716.785,103.980,0.100,11960.570,11959.570,0.000,1.000,57.906,36.584,1
18,765.320,103.940,0.100,12425.010,12424.010,0.000,1.000,37.050,48.049,1
19,805.533,103.980,0.100,12898.350,12897.347,0.000,1.003,48.535,39.722,1
20,833.913,103.900,0.100,13357.250,13356.211,0.000,1.039,40.214,27.883,1
21,878.017,103.850,0.100,13824.445,13823.468,0.000,0.977,28.382,43.567,1
22,908.556,103.450,0.100,14258.940,14257.867,0.000,1.073,44.102,30.057,1
23,953.498,103.900,0.100,14784.360,14783.358,0.000,1.002,30.545,43.867,1
24,986.157,103.980,0.100,15236.560,15235.542,0.000,1.018,44.941,31.786,1
25,1034.986,103.940,0.100,15697.000,15695.991,0.000,1.009,32.655,48.333,1
26,1083.790,103.940,0.100,16166.800,16165.767,0.000,1.033,48.828,48.366,1
27,1139.398,103.940,0.100,16634.600,16633.593,0.000,1.007,48.803,55.077,1
28,1182.481,103.900,0.100,17098.860,17097.841,0.000,1.019,55.608,42.624,1
29,1210.971,103.400,0.100,17524.230,17523.236,0.000,0.994,43.083,28.030,1
30,1250.027,103.900,0.100,18058.850,18057.847,0.000,1.003,28.499,38.585,1
31,1294.029,103.940,0.100,18505.010,18503.987,0.000,1.023,39.048,43.550,1
32,1330.799,103.810,0.100,18959.305,18958.245,0.000,1.060,44.002,36.238,1
33,1368.172,103.900,0.100,19440.985,19439.977,0.000,1.008,36.770,36.904,1
34,1421.165,103.980,0.100,19911.185,19910.132,0.000,1.053,37.372,52.451,1
35,1452.707,104.030,0.100,20379.590,20378.596,0.000,0.994,52.993,31.034,1
36,1493.867,103.900,0.100,20833.790,20832.827,0.000,0.963,31.544,40.684,1
37,1526.013,103.900,0.100,21307.910,21306.875,0.000,1.035,41.157,31.708,1
38,1577.854,103.900,0.100,21775.530,21774.504,0.000,1.026,32.146,51.356,1
39,1624.339,103.900,0.100,22243.150,22242.105,0.000,1.045,51.841,45.968,1
40,1655.673,103.850,0.100,22706.345,22705.366,0.000,0.979,46.490,30.858,1
