iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
0,50.132,103.940,0.000,9198.690,9197.627,0.000,1.063,0.000,40.729,1
1,81.379,103.850,0.000,4461.455,4460.428,0.000,1.027,41.203,30.671,1
2,116.841,103.850,0.000,4933.280,4932.244,0.000,1.036,31.239,34.918,1
3,159.008,103.810,0.000,5397.065,5395.981,0.000,1.084,35.463,41.578,1
4,194.242,103.850,0.000,5869.750,5868.715,0.000,1.035,42.166,34.775,1
5,244.751,103.940,0.000,6343.040,6341.954,0.000,1.086,35.234,49.998,1
6,277.315,104.070,0.000,6817.775,6816.707,0.000,1.068,50.502,32.107,1
7,320.208,103.810,0.000,7256.580,7255.542,0.000,1.038,32.571,42.451,1
8,354.133,103.900,0.000,7744.690,7743.599,0.000,1.091,42.887,33.466,1
9,400.166,103.900,0.000,8207.740,8206.709,0.000,1.031,33.932,45.568,1
10,442.200,103.940,0.000,8678.830,8677.781,0.000,1.049,46.025,41.527,1
11,494.212,103.850,0.000,9136.595,9135.600,0.000,0.995,42.037,51.542,1
12,540.694,103.940,0.000,9616.385,9615.346,0.000,1.039,52.021,45.983,1
13,570.235,103.940,0.000,10079.615,10078.544,0.000,1.071,46.473,29.056,1
14,608.711,103.850,0.000,10539.380,10538.301,0.000,1.079,29.540,37.999,1
15,643.648,103.810,0.000,11007.665,11006.657,0.000,1.008,38.475,34.472,1
16,686.432,103.900,0.000,11484.775,11483.719,0.000,1.056,34.936,42.314,1
17,738.697,103.900,0.000,11947.825,11946.770,0.000,1.055,42.791,51.746,1
18,770.205,103.940,0.000,12418.915,12417.857,0.000,1.058,52.259,30.917,1
19,803.909,103.940,0.000,12884.645,12883.604,0.000,1.041,31.508,33.149,1
20,836.642,103.900,0.000,13348.835,13347.827,0.000,1.008,33.703,32.171,1
21,866.958,103.940,0.000,13821.925,13820.891,0.000,1.034,32.734,29.859,1
22,912.036,103.980,0.000,14291.195,14290.141,0.000,1.054,30.316,44.272,1
23,943.362,103.850,0.000,14745.600,14744.599,0.000,1.001,45.086,30.804,1
24,980.294,103.940,0.000,15227.390,15226.316,0.000,1.074,31.319,36.413,1
25,1022.919,103.940,0.000,15690.620,15689.554,0.000,1.066,36.932,41.993,1
26,1053.621,103.940,0.000,16158.350,16157.371,0.000,0.979,42.627,29.930,1
27,1097.560,103.900,0.000,16622.540,16621.476,0.000,1.064,30.704,43.420,1
28,1138.517,104.030,0.000,17103.595,17102.561,0.000,1.034,43.936,40.365,1
29,1170.376,104.030,0.000,17565.230,17564.186,0.000,1.044,40.959,31.240,1
30,1208.460,103.900,0.000,18021.860,18020.839,0.000,1.021,31.858,37.496,1
31,1237.259,103.940,0.000,18499.450,18498.409,0.000,1.041,38.091,28.296,1
32,1268.019,103.980,0.000,18968.720,18967.702,0.000,1.018,28.791,30.254,1
33,1313.919,103.900,0.000,19427.550,19426.515,0.000,1.035,30.760,45.461,1
34,1358.351,103.940,0.000,19902.640,19901.607,0.000,1.033,45.909,43.831,1
35,1387.650,103.900,0.000,20364.830,20363.786,0.000,1.044,44.423,28.847,1
36,1426.295,103.940,0.000,20837.920,20836.882,0.000,1.038,29.302,38.123,1
37,1474.956,103.900,0.000,21300.110,21299.083,0.000,1.027,38.643,48.074,1
38,1509.054,103.940,0.000,21773.200,21772.160,0.000,1.040,48.661,33.490,1
39,1540.968,104.030,0.000,22246.895,22245.888,0.000,1.007,34.097,31.434,1
40,1582.299,103.940,0.000,22702.565,22701.575,0.000,0.990,31.921,40.880,1
41,1626.000,103.850,0.000,23166.830,23165.803,0.000,1.027,41.325,43.252,1
42,1654.314,103.900,0.000,23643.080,23642.053,0.000,1.027,43.701,27.846,1
43,1704.231,103.980,0.000,24115.210,24114.177,0.000,1.033,28.312,49.483,1
44,1754.886,103.900,0.000,24572.040,24571.086,0.000,0.954,49.917,50.213,1
45,1788.179,103.900,0.000,25043.590,25042.537,0.000,1.053,50.655,32.832,1
46,1839.652,104.030,0.000,25522.645,25521.644,0.000,1.001,33.294,51.017,1
47,1877.516,103.940,0.000,25976.315,25975.306,0.000,1.009,51.474,37.404,1
48,1920.300,103.850,0.000,26440.580,26439.557,0.000,1.023,37.863,42.316,1
49,1961.895,103.940,0.000,26920.370,26919.341,0.000,1.029,42.783,41.116,1
50,1990.738,103.900,0.000,27380.060,27379.047,0.000,1.013,41.596,28.387,1
51,2034.318,103.900,0.000,27849.610,27848.594,0.000,1.016,28.842,43.132,1
52,2080.103,103.900,0.000,28317.160,28316.127,0.000,1.033,43.587,45.336,1
53,2126.904,103.900,0.000,28784.710,28783.693,0.000,1.017,45.779,46.369,1
54,2165.144,104.070,0.000,29267.305,29266.300,0.000,1.005,46.802,37.814,1
55,2205.471,103.940,0.000,29715.615,29714.592,0.000,1.023,38.239,39.839,1
56,2246.928,103.980,0.000,30193.385,30192.389,0.000,0.996,40.328,41.006,1
57,2275.796,103.940,0.000,30655.755,30654.702,0.000,1.053,41.456,28.441,1
58,2305.411,103.900,0.000,31121.945,31120.913,0.000,1.032,28.868,29.187,1
59,2337.576,103.900,0.000,31591.495,31590.550,0.000,0.945,29.616,31.716,1
60,2371.363,103.980,0.000,32066.125,32065.121,0.000,1.004,32.165,33.302,1
61,2418.004,103.980,0.000,32530.035,32529.011,0.000,1.024,33.787,46.152,1
62,2463.677,103.850,0.000,32986.440,32985.442,0.000,0.998,46.642,45.156,1
63,2497.316,103.980,0.000,33471.770,33470.760,0.000,1.010,45.673,33.141,1
64,2547.387,104.030,0.000,33937.605,33936.595,0.000,1.010,33.639,49.587,1
65,2579.780,103.980,0.000,34398.815,34397.816,0.000,0.999,50.071,31.932,1
66,2615.130,103.900,0.000,34862.145,34861.118,0.000,1.027,32.396,34.843,1
67,2655.920,103.980,0.000,35340.775,35339.750,0.000,1.025,35.347,40.325,1
68,2687.408,103.980,0.000,35804.685,35803.671,0.000,1.014,40.798,30.938,1
69,2721.002,103.900,0.000,36265.515,36264.488,0.000,1.027,31.481,33.047,1
70,2753.699,103.940,0.000,36740.605,36739.615,0.000,0.990,33.593,32.155,1
71,2805.610,103.980,0.000,37209.875,37208.820,0.000,1.055,32.697,51.387,1
72,2841.053,103.940,0.000,37672.245,37671.260,0.000,0.985,51.912,34.923,1
73,2877.038,103.940,0.000,38141.975,38140.996,0.000,0.979,35.443,35.512,1
74,2915.935,103.940,0.000,38609.705,38608.706,0.000,0.999,35.984,38.427,1
75,2964.434,103.900,0.000,39073.895,39072.897,0.000,0.998,38.897,48.021,1
76,2993.092,103.850,0.000,39539.020,39538.045,0.000,0.975,48.501,28.193,1
77,3036.077,103.940,0.000,40016.810,40015.778,0.000,1.032,28.657,42.504,1
78,3080.808,103.940,0.000,40480.040,40479.038,0.000,1.002,42.985,44.236,1
79,3110.569,103.980,0.000,40951.310,40950.280,0.000,1.030,44.733,29.276,1
80,3145.512,103.940,0.000,41413.680,41412.691,0.000,0.989,29.759,34.492,1
81,3189.914,103.850,0.000,41875.445,41874.437,0.000,1.008,34.943,43.936,1
82,3232.714,103.940,0.000,42355.235,42354.256,0.000,0.979,44.402,42.354,1
83,3269.301,103.900,0.000,42814.925,42813.921,0.000,1.004,42.800,36.127,1
84,3321.550,104.030,0.000,43295.980,43294.944,0.000,1.036,36.587,51.770,1
85,3361.998,103.940,0.000,43749.650,43748.645,0.000,1.005,52.249,39.952,1
86,3405.880,103.940,0.000,44221.880,44220.868,0.000,1.012,40.448,43.377,1
