iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
73,2842.983,103.940,0.100,38142.375,38141.354,0.000,1.021,46.057,25.788,1
74,2872.280,103.850,0.100,38602.210,38601.221,0.000,0.989,26.244,28.809,1
75,2922.197,103.980,0.100,39085.610,39084.559,0.000,1.051,29.298,49.460,1
76,2947.560,104.340,0.100,39578.950,39577.935,0.000,1.015,49.918,24.932,1
77,2993.041,103.900,0.100,39991.610,39990.546,0.000,1.064,25.361,45.027,1
78,3030.137,104.030,0.100,40492.735,40491.732,0.000,1.003,45.482,36.662,1
79,3056.480,103.900,0.100,40942.935,40941.942,0.000,0.993,37.095,25.889,1
80,3095.870,103.810,0.100,41409.090,41408.061,0.000,1.029,26.344,38.957,1
81,3136.424,103.900,0.100,41888.770,41887.742,0.000,1.028,39.389,40.119,1
82,3168.316,103.900,0.100,42351.890,42350.855,0.000,1.035,40.555,31.414,1
83,3198.500,103.940,0.100,42823.050,42822.013,0.000,1.037,31.900,29.724,1
84,3243.586,103.980,0.100,43292.390,43291.380,0.000,1.010,30.176,44.587,1
85,3291.897,103.900,0.100,43751.290,43750.280,0.000,1.010,45.086,47.829,1
86,3318.464,104.030,0.100,44234.415,44233.332,0.000,1.083,48.318,26.042,1
87,3351.828,103.940,0.100,44688.155,44687.104,0.000,1.051,26.562,32.879,1
88,3389.681,104.070,0.100,45171.960,45170.934,0.000,1.026,33.363,37.349,1
89,3427.220,103.850,0.100,45614.375,45613.376,0.000,0.999,37.853,37.102,1
90,3461.362,103.670,0.100,46076.840,46075.802,0.000,1.038,37.539,33.542,1
91,3495.842,103.900,0.100,46572.780,46571.764,0.000,1.016,34.142,33.943,1
92,3537.794,103.940,0.100,47032.440,47031.405,0.000,1.035,34.480,41.403,1
93,3575.377,103.980,0.100,47501.780,47500.812,0.000,0.968,41.958,37.103,1
94,3620.250,103.940,0.100,47964.220,47963.222,0.000,0.998,37.576,44.436,1
95,3648.727,103.850,0.100,48426.055,48425.028,0.000,1.027,44.872,28.011,1
96,3678.799,103.850,0.100,48897.950,48896.892,0.000,1.058,28.477,29.596,1
97,3720.772,104.070,0.100,49384.815,49383.755,0.000,1.060,30.077,41.498,1
98,3756.489,103.980,0.100,49834.235,49833.219,0.000,1.016,41.974,35.156,1
99,3782.778,103.900,0.100,50299.635,50298.632,0.000,1.003,35.712,25.849,1
100,3829.336,103.900,0.100,50771.255,50770.241,0.000,1.014,26.289,46.064,1
101,3855.229,104.030,0.100,51250.380,51249.360,0.000,1.020,46.560,25.435,1
102,3884.850,103.900,0.100,51700.580,51699.559,0.000,1.021,25.899,29.144,1
103,3934.240,103.850,0.100,52170.275,52169.283,0.000,0.992,29.613,48.809,1
104,3970.606,103.940,0.100,52648.135,52647.103,0.000,1.032,49.392,35.888,1
105,4018.341,103.900,0.100,53107.895,53106.875,0.000,1.020,36.364,47.281,1
106,4045.226,103.900,0.100,53577.515,53576.515,0.000,1.000,47.735,26.428,1
107,4073.097,103.980,0.100,54052.215,54051.182,0.000,1.033,26.884,27.405,1
108,4123.499,103.940,0.100,54512.655,54511.563,0.000,1.092,27.873,49.950,1
109,4168.393,103.940,0.100,54982.455,54981.473,0.000,0.982,50.401,44.450,1
110,4197.057,103.900,0.100,55446.715,55445.651,0.000,1.064,44.894,28.228,1
111,4230.050,103.850,0.100,55911.910,55910.869,0.000,1.041,28.663,32.508,1
112,4266.177,103.940,0.100,56389.770,56388.776,0.000,0.994,32.994,35.528,1
113,4306.182,103.810,0.100,56841.565,56840.588,0.000,0.977,36.128,39.520,1
114,4334.867,103.940,0.100,57326.785,57325.771,0.000,1.014,40.006,28.247,1
115,4361.751,103.900,0.100,57784.545,57783.484,0.000,1.061,28.685,26.444,1
116,4407.267,103.900,0.100,58254.165,58253.130,0.000,1.035,26.882,45.059,1
117,4440.591,103.940,0.100,58725.325,58724.340,0.000,0.985,45.517,32.867,1
118,4477.942,103.940,0.100,59191.125,59190.090,0.000,1.035,33.323,36.917,1
119,4507.999,103.940,0.100,59658.925,59657.899,0.000,1.026,37.352,29.609,1
120,4554.451,103.940,0.100,60126.725,60125.717,0.000,1.008,30.056,46.023,1
121,4585.146,103.850,0.100,60586.560,60585.533,0.000,1.027,46.460,30.196,1
122,4613.463,103.940,0.100,61066.420,61065.421,0.000,0.999,30.691,27.682,1
123,4658.787,103.940,0.100,61529.720,61528.748,0.000,0.972,28.317,44.700,1
124,4694.526,103.940,0.100,61997.520,61996.548,0.000,0.972,45.334,35.074,1
125,4741.659,103.810,0.100,62453.815,62452.772,0.000,1.043,35.730,46.511,1
126,4767.702,103.900,0.100,62935.495,62934.458,0.000,1.037,47.134,25.370,1
127,4802.727,103.900,0.100,63398.615,63397.595,0.000,1.020,26.040,34.413,1
128,4856.391,103.850,0.100,63861.810,63860.795,0.000,1.015,35.024,52.998,1
129,4898.127,103.940,0.100,64339.670,64338.686,0.000,0.984,53.666,41.051,1
130,4933.805,103.900,0.100,64799.430,64798.452,0.000,0.978,41.741,34.987,1
131,4973.083,103.980,0.100,65276.130,65275.067,0.000,1.063,35.672,38.574,1
132,5020.725,103.850,0.100,65728.605,65727.624,0.000,0.981,39.280,46.993,1
133,5047.461,103.900,0.100,66206.925,66205.919,0.000,1.006,47.641,26.131,1
134,5075.116,103.940,0.100,66675.585,66674.573,0.000,1.012,26.735,27.043,1
135,5102.555,103.940,0.100,67141.385,67140.418,0.000,0.967,27.655,26.799,1
136,5141.504,103.900,0.100,67605.645,67604.692,0.000,0.953,27.440,38.260,1
137,5173.805,103.980,0.100,68082.345,68081.299,0.000,1.046,38.955,31.523,1
138,5201.334,103.850,0.100,68534.820,68533.776,0.000,1.044,32.297,26.830,1
139,5247.967,103.900,0.100,69013.140,69012.151,0.000,0.989,27.527,46.007,1
140,5275.890,103.900,0.100,69478.260,69477.229,0.000,1.031,46.642,27.205,1
141,5309.114,103.940,0.100,69949.420,69948.409,0.000,1.011,27.924,32.585,1
142,5337.406,103.850,0.100,70407.255,70406.242,0.000,1.013,33.213,27.658,1
143,5385.864,103.940,0.100,70887.115,70886.137,0.000,0.978,28.294,47.812,1
144,5425.243,104.030,0.100,71358.380,71357.380,0.000,1.000,48.458,38.748,1
145,5459.047,103.900,0.100,71810.580,71809.544,0.000,1.036,39.382,33.184,1
146,5489.415,104.030,0.100,72296.205,72295.220,0.000,0.985,33.801,29.708,1
147,5535.869,103.940,0.100,72749.945,72748.915,0.000,1.030,30.368,45.799,1
148,5574.270,103.580,0.100,73190.385,73189.380,0.000,1.005,46.454,37.748,1
149,5600.582,103.900,0.100,73702.885,73701.863,0.000,1.022,38.401,25.533,1
150,5630.802,103.980,0.100,74161.585,74160.546,0.000,1.039,26.313,29.567,1
151,5659.892,103.900,0.100,74618.485,74617.468,0.000,1.017,30.218,28.413,1
152,5687.060,103.980,0.100,75097.185,75096.206,0.000,0.979,29.102,26.513,1
153,5715.916,103.940,0.100,75557.625,75556.597,0.000,1.028,27.158,28.228,1
154,5789.573,103.900,0.100,76023.885,76022.902,0.000,0.983,28.855,73.038,1
155,5819.639,103.940,0.100,76497.045,76496.014,0.000,1.031,73.659,29.437,1
156,5847.950,103.980,0.100,76966.385,76965.405,0.000,0.980,30.065,27.599,1
157,5874.611,103.980,0.100,77432.365,77431.370,0.000,0.995,28.319,25.969,1
158,5901.879,103.940,0.100,77896.805,77895.794,0.000,1.011,26.652,26.618,1
159,5930.886,103.940,0.100,78366.605,78365.631,0.000,0.974,27.278,27.852,1
160,5962.991,103.900,0.100,78830.865,78829.884,0.000,0.981,29.000,31.450,1
161,5992.380,103.940,0.100,79304.025,79303.027,0.000,0.998,32.103,28.736,1
162,6019.257,103.980,0.100,79773.365,79772.350,0.000,1.015,29.389,26.262,1
163,6055.847,103.980,0.100,80239.345,80238.366,0.000,0.979,26.877,35.988,1
164,6099.328,103.900,0.100,80700.245,80699.254,0.000,0.991,36.590,42.859,1
165,6138.063,103.900,0.100,81171.865,81170.850,0.000,1.015,43.481,38.124,1
166,6170.503,103.940,0.100,81643.025,81642.036,0.000,0.989,38.736,31.816,1
167,6198.038,103.940,0.100,82108.825,82107.814,0.000,1.011,32.439,26.914,1
168,6230.545,103.980,0.100,82580.165,82579.160,0.000,1.005,27.535,31.800,1
169,6258.415,103.810,0.100,83031.100,83030.082,0.000,1.018,32.507,27.229,1
170,6301.819,103.980,0.100,83521.860,83520.817,0.000,1.043,27.869,42.739,1
171,6327.984,103.810,0.100,83966.295,83965.317,0.000,0.978,43.405,25.530,1
172,6376.257,103.940,0.100,84453.515,84452.496,0.000,1.019,26.164,47.643,1
173,6406.335,103.940,0.100,84914.815,84913.811,0.000,1.004,48.273,29.485,1
174,6443.095,103.980,0.100,85386.155,85385.150,0.000,1.005,30.078,36.122,1
175,6470.522,103.900,0.100,85845.055,85844.046,0.000,1.009,36.760,26.776,1
176,6498.569,103.810,0.100,86308.710,86307.714,0.000,0.996,27.426,27.361,1
177,6544.599,103.940,0.100,86791.930,86790.908,0.000,1.022,28.054,45.386,1
178,6592.166,103.850,0.100,87245.265,87244.268,0.000,0.997,46.046,46.849,1
179,6621.281,103.980,0.100,87728.665,87727.668,0.000,0.997,47.545,28.415,1
180,6668.833,103.810,0.100,88175.100,88174.105,0.000,0.995,29.116,46.922,1
181,6699.158,103.940,0.100,88662.320,88661.321,0.000,0.999,47.552,29.702,1
182,6741.387,103.850,0.100,89115.655,89114.703,0.000,0.952,30.325,41.546,1
183,6771.731,104.030,0.100,89603.480,89602.509,0.000,0.971,42.229,29.701,1
184,6807.945,104.070,0.100,90066.225,90065.218,0.000,1.007,30.345,35.593,1
185,6834.719,103.980,0.100,90524.645,90523.607,0.000,1.038,36.214,26.183,1
186,6868.271,103.810,0.100,90982.080,90981.098,0.000,0.982,26.772,32.971,1
187,6909.734,103.940,0.100,91469.300,91468.292,0.000,1.008,33.553,40.707,1
188,6937.410,103.940,0.100,91930.600,91929.559,0.000,1.041,41.463,27.010,1
189,6965.880,103.940,0.100,92398.400,92397.367,0.000,1.033,27.676,27.794,1
190,7004.857,103.850,0.100,92858.235,92857.216,0.000,1.019,28.469,38.315,1
191,7032.706,103.900,0.100,93334.555,93333.560,0.000,0.995,38.978,27.086,1
192,7062.080,103.940,0.100,93803.215,93802.233,0.000,0.982,27.849,28.685,1
193,7102.396,103.980,0.100,94272.555,94271.568,0.000,0.987,29.374,39.593,1
194,7144.929,104.070,0.100,94746.500,94745.488,0.000,1.012,40.316,41.807,1
195,7173.555,104.030,0.100,95206.845,95205.859,0.000,0.986,42.532,27.988,1
196,7219.768,103.940,0.100,95669.085,95668.092,0.000,0.993,28.630,45.374,1
197,7245.580,103.720,0.100,96121.915,96120.928,0.000,0.987,46.219,25.143,1
198,7291.793,103.980,0.100,96622.735,96621.763,0.000,0.972,25.804,45.512,1
199,7320.440,103.850,0.100,97066.210,97065.268,0.000,0.942,46.220,28.030,1
200,7375.075,103.900,0.100,97544.530,97543.508,0.000,1.022,28.641,53.990,1
201,7437.739,104.030,0.100,98021.155,98020.196,0.000,0.959,54.635,62.015,1
202,7466.920,103.900,0.100,98471.355,98470.420,0.000,0.935,62.677,28.474,1
203,7515.222,103.940,0.100,98949.015,98948.033,0.000,0.982,29.168,47.697,1
204,7542.205,103.940,0.100,99414.815,99413.818,0.000,0.997,48.300,25.898,1
205,7582.714,103.900,0.100,99879.075,99878.121,0.000,0.954,26.984,39.825,1
206,7611.950,103.900,0.100,100348.695,100347.729,0.000,0.966,40.509,28.554,1
207,7656.522,103.850,0.100,100811.890,100810.906,0.000,0.984,29.235,43.975,1
208,7698.283,103.850,0.100,101281.785,101280.777,0.000,1.008,44.572,41.155,1
209,7731.311,103.850,0.100,101749.180,101748.220,0.000,0.960,41.762,32.426,1
210,7775.863,103.940,0.100,102224.540,102223.579,0.000,0.961,33.026,43.945,1
211,7804.601,104.030,0.100,102695.805,102694.840,0.000,0.965,44.552,28.096,1
212,7851.245,103.900,0.100,103148.005,103147.015,0.000,0.990,28.744,46.015,1
213,7887.776,103.980,0.100,103629.205,103628.246,0.000,0.959,46.638,35.884,1
214,7923.752,103.940,0.100,104089.645,104088.671,0.000,0.974,36.530,35.318,1
215,7967.493,103.810,0.100,104547.940,104547.002,0.000,0.938,35.977,43.075,1
216,7998.080,103.900,0.100,105029.620,105028.652,0.000,0.968,43.751,29.962,1
217,8040.919,103.940,0.100,105496.280,105495.305,0.000,0.975,30.576,42.258,1
218,8066.714,104.030,0.100,105970.045,105969.072,0.000,0.973,42.838,25.204,1
219,8098.019,103.850,0.100,106417.820,106416.860,0.000,0.960,25.796,30.719,1
220,8131.919,103.850,0.100,106894.215,106893.259,0.000,0.956,31.303,33.281,1
221,8159.988,104.030,0.100,107377.540,107376.538,0.000,1.002,33.901,27.432,1
222,8189.082,103.810,0.100,107817.275,107816.288,0.000,0.987,28.071,28.479,1
223,8225.130,103.900,0.100,108303.455,108302.532,0.000,0.923,29.091,35.414,1
224,8255.753,103.980,0.100,108773.655,108772.653,0.000,1.002,36.049,29.942,1
225,8285.469,104.070,0.100,109245.600,109244.660,0.000,0.940,30.624,29.004,1
226,8326.029,103.850,0.100,109690.015,109689.002,0.000,1.013,29.716,39.872,1
227,8352.035,103.980,0.100,110179.915,110178.922,0.000,0.993,40.562,25.333,1
228,8381.083,103.980,0.100,110641.395,110640.447,0.000,0.948,26.004,28.412,1
229,8434.365,103.980,0.100,111109.375,111108.389,0.000,0.986,29.048,52.676,1
230,8459.764,103.980,0.100,111577.355,111576.391,0.000,0.964,53.282,24.817,1
231,8509.385,103.850,0.100,112033.830,112032.820,0.000,1.010,25.398,49.020,1
232,8535.936,103.940,0.100,112515.690,112514.719,0.000,0.971,49.622,25.952,1
233,8574.262,103.850,0.100,112971.025,112970.059,0.000,0.966,26.551,37.705,1
234,8619.325,103.940,0.100,113450.885,113449.914,0.000,0.971,38.326,44.426,1
235,8662.677,103.810,0.100,113902.680,113901.716,0.000,0.964,45.071,42.711,1
236,8689.322,103.980,0.100,114391.440,114390.500,0.000,0.940,43.345,25.991,1
237,8721.102,103.940,0.100,114847.380,114846.411,0.000,0.969,26.644,31.089,1
238,8751.813,103.980,0.100,115320.720,115319.723,0.000,0.997,31.780,30.014,1
239,8781.382,103.940,0.100,115783.160,115782.175,0.000,0.985,30.717,28.931,1
240,8810.514,103.810,0.100,116241.455,116240.496,0.000,0.959,29.563,28.442,1
241,8839.189,103.850,0.100,116718.710,116717.738,0.000,0.972,29.133,27.996,1
242,8866.172,103.940,0.100,117192.070,117191.097,0.000,0.973,28.675,26.339,1
243,8899.525,103.940,0.100,117655.370,117654.445,0.000,0.925,26.982,32.703,1
244,8927.515,103.980,0.100,118126.710,118125.729,0.000,0.981,33.353,27.345,1
245,8965.561,103.940,0.100,118589.150,118588.214,0.000,0.936,27.990,37.412,1
246,9001.458,104.120,0.100,119074.880,119073.877,0.000,1.003,38.044,35.269,1
247,9044.280,103.940,0.100,119518.560,119517.602,0.000,0.958,35.899,42.213,1
248,9071.807,103.980,0.100,119998.900,119997.870,0.000,1.030,42.821,26.872,1
249,9099.012,103.810,0.100,120449.835,120448.895,0.000,0.940,27.528,26.523,1
250,9149.087,103.940,0.100,120937.055,120936.138,0.000,0.917,27.204,49.053,1
251,9187.346,103.850,0.100,121390.390,121389.427,0.000,0.963,50.076,37.629,1
252,9229.785,103.900,0.100,121866.710,121865.775,0.000,0.935,38.259,41.808,1
253,9260.635,103.940,0.100,122335.370,122334.418,0.000,0.952,42.438,30.240,1
254,9303.414,103.940,0.100,122801.170,122800.216,0.000,0.954,30.859,42.084,1
255,9331.510,103.940,0.100,123268.970,123268.015,0.000,0.955,42.770,27.395,1
256,9369.785,103.940,0.100,123736.770,123735.791,0.000,0.979,28.096,37.572,1
257,9402.256,103.850,0.100,124196.605,124195.597,0.000,1.008,38.275,31.764,1
258,9435.115,103.900,0.100,124672.925,124671.940,0.000,0.985,32.472,32.012,1
259,9487.489,103.850,0.100,125133.620,125132.681,0.000,0.939,32.862,51.640,1
260,9520.274,103.850,0.100,125603.515,125602.533,0.000,0.982,52.369,32.095,1
261,9566.429,103.850,0.100,126070.910,126069.880,0.000,1.030,32.786,45.478,1
262,9592.971,103.980,0.100,126549.810,126548.807,0.000,1.003,46.156,25.894,1
263,9630.802,103.980,0.100,127011.290,127010.294,0.000,0.996,26.541,37.158,1
264,9681.609,103.810,0.100,127464.225,127463.285,0.000,0.940,37.831,50.191,1
265,9709.443,103.980,0.100,127954.985,127953.979,0.000,1.006,50.806,27.203,1
266,9740.769,103.900,0.100,128407.385,128406.455,0.000,0.930,27.834,30.683,1
267,9785.102,103.580,0.100,128850.685,128849.723,0.000,0.962,31.327,43.712,1
268,9824.011,103.940,0.100,129364.725,129363.798,0.000,0.927,44.331,38.311,1
269,9855.164,103.760,0.100,129798.595,129797.597,0.000,0.998,38.909,30.582,1
270,9882.769,103.940,0.100,130290.515,130289.528,0.000,0.987,31.153,26.931,1
271,9926.781,103.900,0.100,130745.775,130744.806,0.000,0.969,27.605,43.360,1
272,9969.764,103.850,0.100,131210.970,131209.993,0.000,0.977,44.016,42.336,1
273,10005.594,103.940,0.100,131688.830,131687.863,0.000,0.967,42.988,35.122,1
274,10034.248,103.900,0.100,132148.590,132147.635,0.000,0.955,35.822,27.943,1
275,10071.138,103.850,0.100,132613.785,132612.901,0.000,0.884,28.665,36.183,1
276,10100.646,103.850,0.100,133083.680,133082.680,0.000,1.000,36.881,28.736,1
277,10134.683,104.030,0.100,133567.005,133566.035,0.000,0.970,29.507,33.396,1
278,10189.727,103.900,0.100,134014.705,134013.726,0.000,0.979,34.036,54.345,1
279,10224.042,103.850,0.100,134484.400,134483.418,0.000,0.982,55.044,33.627,1
280,10280.181,103.850,0.100,134954.295,134953.367,0.000,0.928,34.315,55.463,1
281,10311.629,103.940,0.100,135429.655,135428.672,0.000,0.983,56.138,30.852,1
282,10340.300,103.850,0.100,135884.990,135884.029,0.000,0.961,31.449,27.997,1
